商品编号,WB编号,类目,库存,仓库,状态,售价,1促,2促,3促,4促,5促,6促,7促,8促,9促,10促,11促,12促,13促,14促,15促,16促,17促,18促
G07409814731982,368469055,竞赛配件,1,FBW,淘汰,1099.98,,,,,,,,,,,,,,,,,,
G07409842875459,362932938,钥匙包,0,FBW,淘汰,819.95,,,,,,,,,,,,,,,,,,
G07528302692224,481853534,塞尺,5,FBW,正常,572.91,,,,,,,,,,,,,,,,,,
G07599160568003,563702557,茶壶,33,FBW,正常,1599.93,,,,,,,,,,,,,,,,,,
G07404659757477,361881147,茶壶,89,FBW,正常,1764.0,,,,,,,,,,,,,,,,,,
G07403892965940,361905036,茶壶,75,FBW,好卖,1799.88,,,,,,,,,,,,,,,,,,
G07404659613305,361889928,茶壶,33,FBW,好卖,1760.0,,,,,,,,,,,,,,,,,,
G07402113417429,361949221,茶壶,27,FBW,正常,7000.0,,,,,,,,,,,,,,,,,,
G07404659639718,361888517,茶壶,105,FBW,正常,1599.88,,,,,,,,,,,,,,,,,,
G07688147272648,787945214,茶壶,67,FBW,好卖,1760.0,,,,,,,,,,,,,,,,,,
G07688153348744,787945215,茶壶,57,FBW,正常,2950.0,,,,,,,,,,,,,,,,,,
G07688748961925,787983533,茶具套装,47,FBW,正常,1700.0,,,,,,,,,,,,,,,,,,
G07822088644044,1222742928,茶具套装,0,FBW,正常,4999.82,,,,,,,,,,,,,,,,,,
G07825504263880,1222768820,茶具套装,0,FBW,正常,4589.0,,,,,,,,,,,,,,,,,,
G07411612598502,361817997,茶勺,99,FBW,正常,770.8,,,,,,,,,,,,,,,,,,
G07411608119397,361820722,茶勺,71,FBW,正常,869.89,,,,,,,,,,,,,,,,,,
G07688151765670,783619518,茶勺,27,FBW,正常,768.86,,,,,,,,,,,,,,,,,,
G07688745248612,783654559,车载支架,78,FBW,正常,686.0,,,,,,,,,,,,,,,,,,
G07517008079171,481757838,窗户锁,41,FBW,正常,480.0,,,,,,,,,,,,,,,,,,
G07565442546848,624070693,麻花钻头,23,FBW,正常,1960.0,,,,,,,,,,,,,,,,,,
G07524645526317,481847470,储物盒,10,FBW,淘汰,1682.0,,,,,,,,,,,,,,,,,,
G07563733796831,564012871,杯子,32,FBW,正常,1552.98,,,,,,,,,,,,,,,,,,
G07564580854757,564029202,杯子,28,FBW,正常,1666.0,,,,,,,,,,,,,,,,,,
G07403815727107,361917672,杯子,56,FBW,正常,2254.0,,,,,,,,,,,,,,,,,,
G07404642662306,361896214,杯子,29,FBW,正常,1950.0,,,,,,,,,,,,,,,,,,
G07404642648468,361901984,杯子,118,FBW,正常,1272.0,,,,,,,,,,,,,,,,,,
G07403815744386,361918775,杯子,62,FBW,正常,2450.0,,,,,,,,,,,,,,,,,,
G07688156746045,787924467,杯子,37,FBW,正常,1500.8,,,,,,,,,,,,,,,,,,
G07600019644393,563649469,摆件及雕像,1,FBW,正常,1199.91,,,,,,,,,,,,,,,,,,
G07518749191363,481762842,摆件及雕像,48,FBW,好卖,1199.94,,,,,,,,,,,,,,,,,,
G07688155407458,783615108,摆件及雕像,0,FBW,淘汰,2499.9,,,,,,,,,,,,,,,,,,
G07688149679640,787950059,摆件及雕像,97,FBW,好卖,1521.0,,,,,,,,,,,,,,,,,,
G07410724932538,362906702,FM发射器,0,FBW,正常,850.0,,,,,,,,,,,,,,,,,,
G07600819905406,624087644,非聚合物储罐,134,FBW,正常,1625.85,,,,,,,,,,,,,,,,,,
G07688745434535,787825116,非聚合物储罐,88,FBW,正常,1610.4,,,,,,,,,,,,,,,,,,
G07688745467998,787825115,非聚合物储罐,54,FBW,正常,1501.0,,,,,,,,,,,,,,,,,,
G07688749097288,787953622,非聚合物储罐,57,FBW,正常,1572.0,,,,,,,,,,,,,,,,,,
G07782263163247,1025783574,非聚合物储罐,6,FBW,正常,1682.85,,,,,,,,,,,,,,,,,,
G07782263181573,1025783573,非聚合物储罐,15,FBW,正常,1683.0,,,,,,,,,,,,,,,,,,
G07565435843180,563957200,缝纫工具包,115,FBW,正常,1165.87,,,,,,,,,,,,,,,,,,
G07600857399482,623986260,锅,63,FBW,好卖,4200.0,,,,,,,,,,,,,,,,,,
G07600857763189,623986259,锅,46,FBW,好卖,4200.0,,,,,,,,,,,,,,,,,,
G07782263308655,1025772954,锅,12,FBW,正常,4200.0,,,,,,,,,,,,,,,,,,
G07412502682078,361684676,玩具套装,215,FBW,正常,1500.98,,,,,,,,,,,,,,,,,,
G07412491779324,361711292,户外刀,93,FBW,好卖,1500.96,,,,,,,,,,,,,,,,,,
G07518762176189,481811684,花园雕像及标牌,107,FBW,正常,2000.0,,,,,,,,,,,,,,,,,,
G07518754742223,481809750,修枝剪,71,FBW,正常,1000.5,,,,,,,,,,,,,,,,,,
G07688750122234,783673515,修枝剪,44,FBW,正常,779.94,,,,,,,,,,,,,,,,,,
G07688160637707,783607757,化妆品收纳盒,55,FBW,正常,777.96,,,,,,,,,,,,,,,,,,
G07524641061109,481839227,纪念餐具,29,FBW,淘汰,3728.0,,,,,,,,,,,,,,,,,,
G07422899361836,393890968,派对套装,72,FBW,淘汰,1500.98,,,,,,,,,,,,,,,,,,
G07688135819523,783647076,派对套装,4,FBW,淘汰,1849.92,,,,,,,,,,,,,,,,,,
G07520329438217,481823896,开瓶器套装,17,FBW,淘汰,1499.96,,,,,,,,,,,,,,,,,,
G07518751418037,481807678,锯链,0,FBW,淘汰,1076.94,,,,,,,,,,,,,,,,,,
G07424538711323,395855732,礼物盒,87,FBW,好卖,1100.0,,,,,,,,,,,,,,,,,,
G07424523171957,377301362,礼物盒,0,FBW,淘汰,789.0,,,,,,,,,,,,,,,,,,
G07688162429544,777982132,礼物盒,9,FBW,正常,1463.88,,,,,,,,,,,,,,,,,,
G07600868152096,575468657,马镫,102,FBW,正常,2332.9,,,,,,,,,,,,,,,,,,
G07254271674167,912534477,马镫,135,FBW,正常,1500.2,,,,,,,,,,,,,,,,,,
G07524647611882,481848501,气动工具配件,0,FBW,正常,1408.4,,,,,,,,,,,,,,,,,,
G07411581211545,361971418,车载充电器,76,FBW,正常,379.9,,,,,,,,,,,,,,,,,,
G07424533848866,395829630,抬头显示器,46,FBW,正常,1501.0,,,,,,,,,,,,,,,,,,
G07413264518200,361644209,车载香薰,13,FBW,淘汰,1000.23,,,,,,,,,,,,,,,,,,
G07688143449172,783635225,车载香薰,10,FBW,淘汰,1000.99,,,,,,,,,,,,,,,,,,
G07688143429706,783635226,车载香薰,0,FBW,淘汰,900.0,,,,,,,,,,,,,,,,,,
G07410717363078,362921623,车内装饰,65,FBW,好卖,576.84,,,,,,,,,,,,,,,,,,
G07411681426272,361733840,球拍,36,WS,好卖,1199.91,,,,,,,,,,,,,,,,,,
G07600864428673,613369699,日历,0,FBW,正常,15000.0,,,,,,,,,,,,,,,,,,
G07421922233759,368294359,书法工具套装,52,FBW,好卖,1518.0,,,,,,,,,,,,,,,,,,
G07412428653997,361721188,额链,648,WS,好卖,1100.0,,,,,,,,,,,,,,,,,,
G07524642885573,481842469,洗手液分装瓶,3,FBW,正常,1961.96,,,,,,,,,,,,,,,,,,
G07524643449765,481843589,洗手液分装瓶,27,FBW,正常,1963.92,,,,,,,,,,,,,,,,,,
G07464350696003,912519869,洗手液分装瓶,0,FBW,正常,5000.0,,,,,,,,,,,,,,,,,,
